galaxy,survey,quality_tier,n_points_raw,n_points_used,turnover,curvature_std,curvature_max,q,A0,mse_log,r_min_kpc,r_max_kpc,vobs_max_kms,distance_mpc,inc_deg,m2l_disk,Sigma_proxy,vel_col_used,p_fit,vrot_mean_kms,regime
D564-8,SPARC,1,6,6,0.7036459953963077,1.1392618543478452,2.7456179474448525,2.507201175274115e-07,150.3656402399218,0.0161652375335844,0.51,3.07,25.0,8.79,63.0,2.37,0.855,,,,non_activated
D631-7,SPARC,1,16,13,2.287699743707096,7.721404612030271,16.009613011154954,9.527607913947678e-05,385.6267266691479,0.0309208286944129,1.8,7.19,58.5,7.72,59.0,0.92,0.1,,,,non_activated
DDO064,SPARC,1,14,14,0.7385851317555849,9.134049046045275,16.800131986929383,2.8581907534690185e-07,532.6079574071887,0.0230323485874146,0.1,2.98,46.9,6.8,60.0,2.19,9.13,,,,non_activated
DDO154,SPARC,1,12,12,1.6588024906714678,3.0012911398154576,6.89052584223232,9.010750708838533e-06,374.1124730879437,0.0283485364210715,0.49,5.92,48.2,4.04,64.0,4.28,0.015,,,,non_activated
DDO161,SPARC,1,31,31,-0.1673934482466855,21.4751269334978,72.14014326613925,9.563362065824946e-09,197.09524522900688,0.2977677099312584,0.6,13.37,67.5,7.5,70.0,1.2,0.36,,,,non_activated
DDO168,SPARC,1,10,10,1.956230667912893,5.236630042090496,9.64029199497799,2.74886482467868e-05,451.5455824791946,0.1088594759930765,0.41,4.12,55.0,4.25,63.0,2.04,3.48,,,,non_activated
DDO170,SPARC,1,8,8,0.4196562273524927,2.676154823075689,4.301204121370804,8.643352534871714e-08,294.58451322869064,0.0040193783920668,1.87,12.33,62.2,15.4,66.0,4.2,0.69,,,,non_activated
ESO079-G014,SPARC,1,15,12,1.1007464194555605,12.756223374697983,30.722953077416843,1.111497844966174e-06,894.4696404013525,0.016613055407666,0.41,16.67,178.0,28.7,79.0,0.97,83.03,,,,non_activated
ESO116-G012,SPARC,1,15,15,0.7750950738017577,4.202773105895881,7.164988832335087,3.277566091099955e-07,889.2050435477554,0.0291639848188686,0.25,9.86,112.0,13.0,74.0,1.21,24.2,,,,non_activated
ESO444-G084,SPARC,1,7,7,0.5219805988744171,0.4536911945113244,1.3179622724317124,1.2686100224836445e-07,1127.4740197113929,0.001774011656985,0.26,4.44,63.1,4.83,32.0,5.39,1.03,,,,non_activated
ESO563-G021,SPARC,1,30,25,-0.3390314856518507,18.057386432167853,42.91555076867309,5.024353081821423e-09,1507.8270193009432,0.0105209586373518,4.9,42.41,321.0,60.8,83.0,0.66,50.58,,,,non_activated
F563-1,SPARC,1,17,17,3.6108566099425032,61.05855911656174,155.19562377700592,0.0136015831760375,953.4229945122738,0.0359316867527365,1.07,20.1,112.5,48.9,25.0,3.01,1.68,,,,non_activated
F563-V2,SPARC,1,10,10,1.4003751804056073,3.532067569749882,5.627064805570877,3.4188910830082373e-06,1568.7782746446917,0.035980872240553,0.28,10.47,118.0,59.7,29.0,4.16,21.995,,,,non_activated
F565-V2,SPARC,1,7,7,0.7339850474077921,1.6243352373050497,2.9094118929230386,2.8093088856035576e-07,624.2887379639633,0.0117234979192268,1.26,8.8,83.1,51.8,60.0,5.71,1.6,,,,non_activated
F568-1,SPARC,1,12,12,1.2051987462893543,2.704595012343014,4.913704321014045,1.6444479160574056e-06,1586.4142853903816,0.0293593356662604,0.44,13.23,142.0,90.7,26.0,3.02,14.905,,,,non_activated
F568-3,SPARC,1,18,17,3.4246543438204347,10.895992183833124,26.07044116850963,0.0067684325385699,634.672343648686,0.0843511844333506,1.18,17.98,120.0,82.4,40.0,1.35,19.58,,,,non_activated
F568-V1,SPARC,1,15,15,1.2236318780077062,3.3865381426388645,7.35133220644204,1.762139952571383e-06,1405.7191285099454,0.0231586954734503,0.39,17.63,118.0,80.6,40.0,4.46,9.36,,,,non_activated
F571-8,SPARC,1,13,7,1.9725406994515755,2.428581500075252,7.806930277800756,2.922240355151142e-05,1152.46397291771,0.0098328194804904,4.77,15.55,144.0,53.3,85.0,0.24,5.4,,,,non_activated
F571-V1,SPARC,1,7,7,0.8604252527495818,1.353219759438215,2.726309461358417,4.513573844469917e-07,468.5337603814119,0.0044421691324666,1.95,13.59,84.3,80.1,30.0,2.56,2.09,,,,non_activated
F574-1,SPARC,1,14,14,1.54000991130485,4.054872833663242,8.058079290623992,5.7715829077664825e-06,750.4779417846644,0.0278905038771116,0.47,12.6,99.7,96.8,65.0,2.06,12.13,,,,non_activated
F579-V1,SPARC,1,14,14,0.263505992661529,2.3168195266429663,4.320280311028991,4.812550313187105e-08,1514.8162965077815,0.0768291283409992,0.42,15.16,114.0,89.5,26.0,2.59,29.79,,,,non_activated
F583-1,SPARC,1,25,24,1.153267329000607,6.3299097386309615,17.169950729953925,1.353456802643412e-06,568.7804649207656,0.0649926165264155,0.26,16.26,86.9,35.4,63.0,2.16,5.74,,,,non_activated
F583-4,SPARC,1,12,12,-0.1423837112518298,3.62741702648886,7.622920814671361,1.0503681969398206e-08,399.1259330365162,0.0002449668629001,0.22,7.29,69.9,53.3,55.0,1.96,7.529999999999999,,,,non_activated
IC2574,SPARC,1,34,34,0.9009777284273712,32.134256379693745,84.95465621376344,5.254900377590783e-07,206.3606087356045,0.1021305635024374,0.85,10.23,67.5,3.91,75.0,1.4,4.165,,,,non_activated
IC4202,SPARC,1,32,22,-2.8144746740026183,97.45963811363563,262.8306464328348,4.672644201583136e-13,566.9688715109096,0.0396966882776749,5.5,25.9,250.0,100.4,90.0,0.38,38.81,,,,non_activated
KK98-251,SPARC,1,15,15,0.9016250996809986,11.799749613848382,31.72462482721141,5.26767289244919e-07,165.21065122167326,0.0737370806628692,0.25,3.13,34.6,6.8,59.0,2.71,3.87,,,,non_activated
NGC0024,SPARC,1,29,28,0.9399496389188872,14.022785944936931,43.8141827812434,6.081830420758794e-07,2340.9415738208027,0.0381959177519912,0.32,11.27,110.0,7.3,64.0,1.75,105.55,,,,non_activated
NGC0055,SPARC,1,21,20,3.800380366440361,13.488979807771816,30.087454422747115,0.0276657821081044,342.8009813393411,0.1897641392529536,1.84,13.5,87.4,2.11,77.0,1.17,7.04,,,,non_activated
NGC0100,SPARC,1,21,18,1.6806716571537783,6.217597928957813,16.316758214943096,9.780863019618908e-06,518.6136810203215,0.0555147315038069,1.59,9.62,91.2,13.5,89.0,1.02,6.225,,,,non_activated
NGC0247,SPARC,1,26,26,-0.2319060785691987,7.400554094374977,15.530238465696725,7.508359367254375e-09,631.5488709887809,0.0062053536204014,1.08,14.54,108.0,3.7,74.0,2.26,10.92,,,,non_activated
NGC0289,SPARC,1,28,21,0.9823971414121844,28.38305250865758,89.16898180275436,7.131230754139058e-07,429.8798978409062,0.0131646305734233,10.6,71.12,194.0,20.8,46.0,0.79,0.1,,,,non_activated
NGC0300,SPARC,1,25,25,0.9516597944965084,20.827553158208417,44.75798581801601,6.354853100313512e-07,711.2704182560531,0.0091277858793223,0.91,11.8,97.0,2.08,42.0,1.62,3.98,,,,non_activated
NGC1003,SPARC,1,36,32,1.127116918520365,27.60920318877992,65.57823207993448,1.2270315533928489e-06,440.85562370845696,0.0113298346119769,4.56,30.24,115.0,11.4,67.0,1.05,0.01,,,,non_activated
NGC1090,SPARC,1,24,18,1.0213583695439246,30.597343221084685,69.45524445817772,8.253096272571272e-07,292.83432349316666,0.0586365959918732,5.09,30.09,176.0,37.0,64.0,0.61,3.34,,,,non_activated
NGC1705,SPARC,1,14,14,0.3554097188936337,1.8866801142821088,4.050893942556746,6.792819691844392e-08,1693.9578379928437,0.0514799795890649,0.22,6.0,73.2,5.73,80.0,2.59,0.19,,,,non_activated
NGC2366,SPARC,1,26,23,4.276844857873556,22.263827113623133,40.65377312741874,0.1640361465009743,380.2440051206872,0.1338667818802592,0.12,6.06,53.7,3.27,68.0,0.96,0.45,,,,non_activated
