galaxy,survey,quality_tier,n_points_raw,n_points_used,turnover,curvature_std,curvature_max,q,A0,mse_log,r_min_kpc,r_max_kpc,vobs_max_kms,distance_mpc,inc_deg,m2l_disk,Sigma_proxy
D564-8,SPARC,1,6,6,0.7036459953963077,1.1392618543478452,2.7456179474448525,2.5072011752741143e-07,150.3656402399218,0.01616523753358446,0.51,3.07,25.0,8.79,63.0,2.37,0.855
D631-7,SPARC,1,16,13,2.287699743707096,7.721404612030271,16.009613011154954,9.527607913947678e-05,385.6267266691479,0.03092082869441292,1.8,7.19,58.5,7.72,59.0,0.92,0.1
DDO064,SPARC,1,14,14,0.7385851317555849,9.134049046045277,16.800131986929383,2.8581907534690185e-07,532.6079574071887,0.023032348587414698,0.1,2.98,46.9,6.8,60.0,2.19,9.13
DDO154,SPARC,1,12,12,1.6588024906714678,3.0012911398154576,6.89052584223232,9.010750708838533e-06,374.1124730879437,0.028348536421071505,0.49,5.92,48.2,4.04,64.0,4.28,0.015
DDO161,SPARC,1,31,31,-0.16739344824668556,21.4751269334978,72.14014326613925,9.563362065824946e-09,197.09524522900688,0.29776770993125845,0.6,13.37,67.5,7.5,70.0,1.2,0.36
DDO168,SPARC,1,10,10,1.9562306679128927,5.236630042090496,9.64029199497799,2.74886482467868e-05,451.5455824791946,0.10885947599307651,0.41,4.12,55.0,4.25,63.0,2.04,3.48
DDO170,SPARC,1,8,8,0.41965622735249275,2.676154823075689,4.301204121370804,8.643352534871713e-08,294.58451322869064,0.004019378392066822,1.87,12.33,62.2,15.4,66.0,4.2,0.69
ESO079-G014,SPARC,1,15,12,1.1007464194555605,12.756223374697985,30.722953077416843,1.111497844966174e-06,894.4696404013525,0.01661305540766609,0.41,16.67,178.0,28.7,79.0,0.97,83.03
ESO116-G012,SPARC,1,15,15,0.7750950738017577,4.202773105895881,7.164988832335087,3.277566091099955e-07,889.2050435477554,0.02916398481886868,0.25,9.86,112.0,13.0,74.0,1.21,24.2
ESO444-G084,SPARC,1,7,7,0.5219805988744171,0.4536911945113244,1.3179622724317124,1.2686100224836445e-07,1127.4740197113927,0.0017740116569850161,0.26,4.44,63.1,4.83,32.0,5.39,1.03
ESO563-G021,SPARC,1,30,25,-0.3390314856518507,18.057386432167853,42.91555076867309,5.024353081821423e-09,1507.8270193009432,0.010520958637351818,4.9,42.41,321.0,60.8,83.0,0.66,50.58
F563-1,SPARC,1,17,17,3.6108566099425032,61.05855911656174,155.19562377700592,0.01360158317603755,953.4229945122738,0.035931686752736516,1.07,20.1,112.5,48.9,25.0,3.01,1.68
F563-V2,SPARC,1,10,10,1.4003751804056073,3.532067569749882,5.627064805570877,3.4188910830082373e-06,1568.7782746446917,0.035980872240553054,0.28,10.47,118.0,59.7,29.0,4.16,21.994999999999997
F565-V2,SPARC,1,7,7,0.7339850474077921,1.6243352373050497,2.9094118929230386,2.8093088856035576e-07,624.2887379639633,0.011723497919226875,1.26,8.8,83.1,51.8,60.0,5.71,1.6
F568-1,SPARC,1,12,12,1.2051987462893545,2.704595012343014,4.913704321014045,1.6444479160574056e-06,1586.4142853903816,0.029359335666260474,0.44,13.23,142.0,90.7,26.0,3.02,14.905
F568-3,SPARC,1,18,17,3.4246543438204347,10.895992183833123,26.07044116850963,0.006768432538569925,634.672343648686,0.08435118443335064,1.18,17.98,120.0,82.4,40.0,1.35,19.58
F568-V1,SPARC,1,15,15,1.2236318780077062,3.3865381426388645,7.3513322064420406,1.762139952571383e-06,1405.7191285099454,0.023158695473450393,0.39,17.63,118.0,80.6,40.0,4.46,9.36
F571-8,SPARC,1,13,7,1.9725406994515753,2.428581500075252,7.806930277800756,2.922240355151142e-05,1152.46397291771,0.009832819480490413,4.77,15.55,144.0,53.3,85.0,0.24,5.4
F571-V1,SPARC,1,7,7,0.8604252527495818,1.353219759438215,2.726309461358417,4.5135738444699165e-07,468.5337603814119,0.0044421691324666255,1.95,13.59,84.3,80.1,30.0,2.56,2.09
F574-1,SPARC,1,14,14,1.54000991130485,4.054872833663242,8.058079290623992,5.7715829077664825e-06,750.4779417846644,0.027890503877111693,0.47,12.6,99.7,96.8,65.0,2.06,12.129999999999999
F579-V1,SPARC,1,14,14,0.263505992661529,2.3168195266429663,4.3202803110289905,4.812550313187105e-08,1514.8162965077815,0.07682912834099923,0.42,15.16,114.0,89.5,26.0,2.59,29.79
